;ano;mes;sigla_uf;tipo_consumo;numero_consumidores;consumo;id_estado;sigla;estado;regiao;pais
762;2004;5;AP;Outros;2312.0;11214;3;AP;Amapá;Norte;Brasil
763;2004;5;RS;Outros;314299.0;305855;21;RS;Rio Grande do Sul;Sul;Brasil
764;2004;5;AC;Outros;10122.0;6205;1;AC;Acre;Norte;Brasil
765;2004;5;CE;Outros;206944.0;102572;6;CE;Ceará;Nordeste;Brasil
766;2004;5;AL;Outros;16787.0;42892;2;AL;Alagoas;Nordeste;Brasil
767;2004;5;ES;Outros;123026.0;74701;8;ES;Espírito Santo;Sudeste;Brasil
768;2004;5;TO;Outros;23062.0;21963;27;TO;Tocantins;Norte;Brasil
769;2004;5;MT;Outros;64381.0;71153;11;MT;Mato Grosso;Centro-Oeste;Brasil
770;2004;5;RR;Outros;4955.0;8434;23;RR;Roraima;Norte;Brasil
771;2004;5;SE;Outros;17535.0;33278;26;SE;Sergipe;Nordeste;Brasil
772;2004;5;PE;Outros;151277.0;134195;17;PE;Pernambuco;Nordeste;Brasil
773;2004;5;MS;Outros;57354.0;70923;12;MS;Mato Grosso do Sul;Centro-Oeste;Brasil
774;2004;5;BA;Outros;215191.0;215627;5;BA;Bahia;Nordeste;Brasil
775;2004;5;GO;Outros;142193.0;142863;9;GO;Goiás;Centro-Oeste;Brasil
776;2004;5;DF;Outros;12149.0;77278;7;DF;Distrito Federal;Centro-Oeste;Brasil
777;2004;5;SP;Outros;313490.0;914846;25;SP;São Paulo;Sudeste;Brasil
778;2004;5;PB;Outros;74039.0;47532;15;PB;Paraíba;Nordeste;Brasil
779;2004;5;PA;Outros;27700.0;76277;14;PA;Pará;Norte;Brasil
780;2004;5;RJ;Outros;70632.0;406271;19;RJ;Rio de Janeiro;Sudeste;Brasil
781;2004;5;PR;Outros;367221.0;271442;16;PR;Paraná;Sul;Brasil
782;2004;5;RO;Outros;60757.0;26045;22;RO;Rondônia;Norte;Brasil
783;2004;6;MS;Outros;57561.0;59841;12;MS;Mato Grosso do Sul;Centro-Oeste;Brasil
784;2004;6;RO;Outros;61322.0;25584;22;RO;Rondônia;Norte;Brasil
785;2004;6;BA;Outros;215832.0;218538;5;BA;Bahia;Nordeste;Brasil
786;2004;6;RR;Outros;5080.0;8857;23;RR;Roraima;Norte;Brasil
787;2004;6;RN;Outros;41284.0;59912;20;RN;Rio Grande do Norte;Nordeste;Brasil
788;2004;6;AL;Outros;16912.0;43342;2;AL;Alagoas;Nordeste;Brasil
789;2004;6;AP;Outros;2334.0;12123;3;AP;Amapá;Norte;Brasil
790;2004;6;AC;Outros;10142.0;9480;1;AC;Acre;Norte;Brasil
791;2004;6;RS;Outros;315276.0;281187;21;RS;Rio Grande do Sul;Sul;Brasil
792;2004;6;GO;Outros;142771.0;164867;9;GO;Goiás;Centro-Oeste;Brasil
793;2004;6;CE;Outros;207620.0;104000;6;CE;Ceará;Nordeste;Brasil
794;2004;6;ES;Outros;123397.0;77673;8;ES;Espírito Santo;Sudeste;Brasil
